SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Better Call Saul,1,2,Mijo,2015-02-09
Breaking Bad,5,9,Blood Money,
Breaking Bad,1,5,Gray Matter,2008-02-17
BETTER CALL SAUL,1,1,Uno,2015-02-08
Breaking Bad,4,5,Shotgun,2011-08-14
Breaking Bad,2,one,Seven Thirty-Seven,2009-03-08
Breaking Bad,1,3,And So Are You,2008-02-03
The  Big  Bang  Theory,1,1,Pilot,2007-09-24
Breaking Bad,1,4,Cancer Man,2008-02-10
Better Call Saul,3,4,Sabrosito,2017-05-01
Better Call Saul,3,1,Mabel,2017-04-10
Two and a Half Men,2,5,Bad News From the Clinic,2004-10-18
Breaking Bad,,8,Cornered,2011-08-21
Breaking Bad,3,1,No Mas,2010-03-21
Breaking Bad,3,10,Fly,0000-00-00
Dark,2,3,Ghosts,2019-06-23
Better Call Saul,1,6,Five-O,2015-03-09
Breaking Bad,3,4,Green Light,2010-04-11
Two and a Half Men,1,6,Did You Check With the Captain of the Flying Monkeys,2003-10-27
The Big Bang Theory,3,7,The Guitarist Amplification,2009-11-02
Better Call Saul,N/A,2,Cobbler,2016-02-22
Breaking Bad,5,4,Fifty-One,2012-08-05
Breaking Bad,4,1,Box Cutter,2011-07-17
Breaking Bad,2,3,Bit by a Dead Bee,2009-03-22
Breaking Bad,5,7,Say My Name,2012-08-26
Dark,1,1,Secrets,2017-12-01
Dark,2,4,The Travelers,2019-06-24
Better Call Saul,2,6,Bali Ha'i,2016-03-21
Dark,1,6,   ,2017-12-01
Two and a Half Men,2,1,Back Off Mary Lou Or I Will Destroy You,2004-09-20
Dark,1,4,Double Lives,2017-12-04
Breaking Bad,1,1,Pilot,2008-01-20
Two and a Half Men,2,7,Those Big Pink Things With Coconut,2004-11-01
Dark,2,5,Lost and Found,2019-06-25
Two and a Half Men,2,2,Enjoy Those Pretzels,2004-09-27
Breaking Bad,1,,,
Two and a Half Men,2,4,An Erase Board Tsunami of Puberty,2004-10-11
Breaking Bad,5,2,Madrigal,2012-07-22
Dark,1,5,Truths,2017-12-05
Dàrk,1,1,Secrets,2017-12-01
Breaking Bad,4,4,Bullet Points,2011-08-07
The Big Bang Theory,3,4,The Pirate Solution,2009-10-12
Better Call Saul,2,5,Rebecca,2016-03-14
Two and a Half Men,1,3,If I Can't Write My Chocolate Song,2003-10-06
Two and a Half Men,1,4,Sleep Tight Princes of Malibu,2003-10-13
Better Call Saul,1,3,Nacho,2015-02-16
Breaking Bad,2,1,Untitled Episode,2009-03-08
Breaking Bad,2,4,Down,2009-03-29
,1,1,Pilot,2008-01-20
Breaking Bad,3,2,Caballo Sin Nombre,2010-03-28
The Big Bang Theory,2,6,The Cooper-Nowitzki Theorem,2008-10-27
The Big Bang Theory,1,3,The Fuzzy Boots Corollary,2007-10-08
Dark,1,3,Past and Present,2017-12-03
Breaking Bad,1,6,Crazy Handful of Nothin,2008-02-24
Breaking Bad,5,6,Buyout,2012-08-19
Two and a Half Men,1,1,Pilot,2003-09-22
Better Call Saul,2,3,Amarillo,2016-02-29
Better Call Saul,2,4,Gloves Off,2016-03-07
Breaking Bad,2,6,Peekaboo,2009-04-12
Better Call Saul,2,7,Inflatable,2016-03-28
Breaking Bad,2,5,Breakage,2009-04-05
Breaking Bad,2,7,Negro y Azul,2009-04-19
Two and a Half Men,2,-1,Ghosts,2004-10-25
Better Call Saul,3,9,Fall,N/A
Breaking Bad,4,7,Problem Dog,2011-08-28
Breaking Bad,3,6,Sunset,2010-04-25
Dark,1,--,   ,
Better Call Saul,2,2,Cobbler,2016-02-22
Better Call Saul,3,6,Off Brand,2017-05-15
Dark,2,--2,Beginnings,2019-06-21
Breaking Bad,3,7,One Minute,2010-05-02
Better Call Saul,2,,none,N/A
Dark,2,2,Dark Matter,2019-06-22
Breaking Bad,1,1,Pilot,2008-01-20
Better Call Saul,2,9,none,2016-04-11
   ,1,5,Another One,2010-04-18
Breaking Bad,1,2,Cat's in the Bag,Unknown
The Big Bang Theory,3,6,The Cornhusker Vortex,2009-10-26
Better Call Saul,1,2,Mijo,Unknown
The Big Bang Theory,2,1,Untitled Episode,2008-09-22
Better Call Saul,3,5,Chicanery,2017-05-08
The Big Bang Theory,2,7,The Panty Pinata Polarization,2008-11-03
Two and a Half Men,2,6,Frankenstein and the Horny Villagers,2004-10-25
Two and a Half Men,1,7,If They Do Go Either Way They're Useless to Us,2003-11-03
Dark,1,1,Secrets,2017-12-01
Better Call Saul,3,2,Witness,2017-04-17
Better Call Saul,2,1,Untitled Episode,2016-02-15
The Big Bang Theory,1,4,The Luminous Fish Effect,2007-10-15
Better Call Saul,3,7,Expenses,2017-05-22
Breaking Bad,4,3,Open House,2011-07-31
Breaking Bad,2,1,Seven Thirty-Seven,2009-03-08
Breaking Bad,2,2,Down,2009-03-15
Better Call Saul,1,--,Hero,2015-02-23
Breaking Bad,4,2,Thirty-Eight Snub,2011-07-24
Breaking Bad,4,6,Cornered,2011-08-21
Better Call Saul,1,1,Uno,2015-02-08
The Big Bang Theory,1,2,The Big Bran Hypothesis,2007-10-01
The Big Bang Theory,1,7,The Dumpling Paradox,2007-11-05
The Big Bang Theory,3,1,The Electric Can Opener Fluctuation,2009-09-21
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,2008-03-02
Breaking Bad,5,1,Live Free or Die,2012-07-15
